ID,LONGDISTANCE,INTERNATIONAL,LOCAL,DROPPED,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,USAGE,RATEPLAN,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,CHURN,CREDITCARD
78,18,0,20,0,CH,FreeLocal,Intnl_discount,39,4,F,M,0,72642.6,N,27.646667,F,5987 6126 2582 2645
79,20,8,13,0,CC,FreeLocal,Standard,43,4,F,S,0,98716.3,N,55.66,T,4822 2571 7932 2846
81,14,8,10,0,CH,FreeLocal,Standard,33,4,F,M,2,84789.3,N,50.433333,T,6616 2816 3328 4118
83,18,0,31,0,Auto,FreeLocal,Intnl_discount,50,4,F,M,2,35976.5,Y,48.853333,T,5763 5198 2244 6174
85,24,0,20,0,CH,FreeLocal,Intnl_discount,44,4,F,M,1,77129.1,Y,61.846667,F,7263 7528 7462 3702
86,15,0,24,0,CH,FreeLocal,Standard,39,3,F,M,2,8204.72,N,52.973333,F,3088 8774 5125 8573
88,2,8,17,0,CC,FreeLocal,Standard,28,4,F,M,0,80405.1,N,60.226667,F,6486 8658 3175 7902
90,16,1,125,0,CC,FreeLocal,Intnl_discount,142,2,M,S,0,64136.6,Y,61.106667,T,8540 7112 6310 2317
92,24,0,73,0,CH,FreeLocal,Standard,97,2,F,M,2,45429.7,Y,61.713333,T,1137 2157 9224 1115
94,9,0,11,0,CC,FreeLocal,Standard,21,1,F,S,0,25285.5,N,53.986667,T,4512 8837 8831 0732
95,20,0,41,1,CC,Budget,Intnl_discount,62,2,F,M,2,77551.1,Y,33.6,F,2863 3231 6181 8612
96,22,8,16,0,CC,FreeLocal,Standard,47,3,F,M,0,38538.4,N,12.326667,T,4015 8586 4873 3013
110,1,0,11,0,CC,Budget,Standard,14,3,F,S,2,21021.6,Y,62.753333,T,85 5669 2155 5142
111,25,0,179,0,CC,FreeLocal,Standard,206,2,M,S,0,74460.7,Y,55.34,T,4644 3268 2147 1385
120,29,0,52,0,Auto,FreeLocal,Standard,82,2,F,M,2,62061.8,Y,45.92,F,2847 6375 7413 7545
121,27,0,57,0,CC,Budget,Standard,85,3,F,M,1,20550.9,Y,22.12,T,4663 8378 3765 3637
127,22,0,34,0,Auto,Budget,Standard,57,2,F,S,2,19131.1,N,56.186667,T,5445 8867 1898 4077
130,0,0,3,0,CC,Budget,Standard,3,4,F,S,2,83073.7,N,39.553333,F,4074 5337 0386 1554
133,20,1,112,0,Auto,Budget,Intnl_discount,134,1,M,M,2,42750.3,Y,50.493333,F,1706 6725 1377 1628
135,0,0,0,0,Auto,Budget,Intnl_discount,0,2,F,S,2,2842.55,N,45.92,T,4522 4143 7291 7144
136,15,1,12,0,CC,Budget,Standard,29,1,M,M,2,22358.1,N,52.626667,F,1960 1753 1216 7694
140,28,0,161,0,CC,FreeLocal,Intnl_discount,190,2,F,S,0,7325.5,N,36.92,T,8266 0726 2298 1946
142,6,0,58,0,CC,Budget,Standard,64,1,M,M,2,28766.9,N,46.84,F,3743 3378 4118 7288
148,26,0,13,0,CC,FreeLocal,Standard,40,3,M,M,2,91272.2,Y,25.033333,F,8655 5136 6676 5345
158,11,0,15,0,CC,Budget,Standard,26,1,M,M,2,1406.05,Y,19.306667,F,4774 7327 8694 2437
160,22,0,28,0,Auto,Budget,Standard,50,4,F,S,0,73228.3,N,62,F,1030 1234 8523 3827
161,2,0,150,0,Auto,FreeLocal,Standard,152,2,F,S,2,76231.9,N,63.806667,F,9489 3288 0483 0321
166,13,1,36,0,CH,FreeLocal,Standard,51,3,M,M,1,64792.3,N,52.146667,T,2341 5412 6288 4823
169,29,0,8,0,CH,Budget,Intnl_discount,38,1,F,S,0,93322.1,Y,40.313333,T,5340 7460 6710 7239
174,0,3,10,0,CC,Budget,Intnl_discount,14,4,M,M,1,63437.3,N,63.653333,T,8442 3676 4815 4103
178,27,0,23,0,CC,Budget,Standard,51,3,M,M,2,49910.7,Y,51.52,F,5572 1155 1153 1255
180,11,0,25,0,CC,FreeLocal,Standard,37,4,M,M,0,76161.4,Y,44.573333,T,7515 2998 8454 1774
190,10,0,57,0,CC,FreeLocal,Standard,67,1,M,M,2,57360.8,Y,53.253333,F,6849 2466 5342 5684
191,29,0,10,0,CC,FreeLocal,Standard,40,4,M,M,0,92414.7,Y,45.513333,T,3455 5187 1797 6056
192,9,0,62,1,CH,FreeLocal,Standard,72,3,M,M,1,60102.7,N,42.14,T,5988 6126 2582 2645
194,29,0,332,0,CC,Budget,Standard,361,1,F,M,2,17888.7,N,55,F,4823 2571 7932 2846
195,11,0,28,0,CC,FreeLocal,Intnl_discount,40,2,F,S,1,12526.3,N,53.553333,T,6617 2816 3328 4118
198,11,0,95,0,Auto,Budget,Standard,107,1,F,S,2,14578.8,Y,60.933333,T,5764 5198 2244 6174
201,21,0,29,1,CC,FreeLocal,Standard,51,4,M,M,0,78572.2,Y,42.346667,T,7264 7528 7462 3702
205,27,5,16,0,CH,FreeLocal,Standard,49,4,F,M,0,28770.9,N,12.34,F,3089 8774 5125 8573
206,0,0,22,0,CC,Budget,Standard,22,1,F,M,2,87578.2,Y,53.366667,F,6487 8658 3175 7902
209,20,0,23,0,CC,Budget,Intnl_discount,43,4,F,S,2,76791.2,N,61,F,8541 7112 6310 2317
218,29,0,90,4,Auto,FreeLocal,Intnl_discount,119,3,F,M,0,83287,N,45.486667,F,1138 2157 9224 1115
219,24,6,27,0,Auto,Budget,Standard,58,2,M,S,0,2056.06,Y,18.94,T,4513 8837 8831 0732
221,15,0,70,0,CC,Budget,Intnl_discount,85,4,M,M,1,2067.82,N,47.853333,F,2864 3231 6181 8612
224,6,0,15,0,CC,FreeLocal,Standard,21,2,F,M,2,69343.3,N,42.166667,F,4016 8586 4873 3013
225,0,0,23,2,Auto,Budget,Standard,24,4,F,M,0,77000,N,55,F,86 5669 2155 5142
229,2,0,9,0,CC,Budget,Intnl_discount,12,4,F,S,0,27498.1,N,42,F,4645 3268 2147 1385
231,26,0,103,0,CC,FreeLocal,Standard,129,1,F,M,2,21419.9,N,59.833333,F,2848 6375 7413 7545
232,5,8,63,0,Auto,FreeLocal,Standard,77,3,F,M,2,30665.2,Y,22.88,F,4664 8378 3765 3637
233,6,0,30,0,Auto,FreeLocal,Intnl_discount,37,2,F,M,1,66000,Y,63.353333,F,5446 8867 1898 4077
234,16,0,113,1,CH,Budget,Standard,129,2,F,M,2,50561.3,N,52,F,4075 5337 0386 1554
236,22,0,41,0,CC,Budget,Intnl_discount,64,3,F,S,2,23464,Y,70,T,1707 6725 1377 1628
237,28,0,38,0,CC,FreeLocal,Standard,67,4,F,M,2,194.57,N,42,F,4523 4143 7291 7144
238,17,0,8,0,CH,FreeLocal,Intnl_discount,26,4,F,M,1,98680.4,Y,55,F,1961 1753 1216 7694
239,13,0,144,0,CC,Budget,Standard,158,3,M,M,1,65619.7,Y,46,T,8267 0726 2298 1946
241,22,0,151,0,Auto,FreeLocal,Intnl_discount,174,2,F,S,0,85275,N,47,F,3744 3378 4118 7288
243,13,0,11,0,Auto,FreeLocal,Standard,25,3,F,M,1,98453.6,Y,46,F,8656 5136 6676 5345
244,25,0,10,0,CC,FreeLocal,Intnl_discount,35,3,F,M,2,94026.8,Y,27.746667,F,4775 7327 8694 2437
246,25,0,252,1,Auto,Budget,Standard,277,2,F,S,2,57420,Y,61,F,1031 1234 8523 3827
254,0,0,10,0,CC,FreeLocal,Standard,10,3,F,M,2,18296.4,Y,42.626667,F,9490 3288 0483 0321
257,22,0,63,0,Auto,FreeLocal,Standard,86,3,F,S,1,68000,N,60,F,2342 5412 6288 4823
261,20,0,37,0,Auto,Budget,Standard,57,3,F,S,2,86747.1,N,64.853333,F,5341 7460 6710 7239
263,21,0,139,0,Auto,Budget,Standard,160,3,F,M,1,87404.6,N,63.186667,F,8443 3676 4815 4103
264,6,4,153,0,CC,FreeLocal,Intnl_discount,164,2,M,S,2,20919,N,27.886667,F,5573 1155 1153 1255
265,19,2,14,1,Auto,Budget,Intnl_discount,35,4,F,M,2,85394,Y,20.16,F,7516 2998 8454 1774
266,2,0,36,1,CC,FreeLocal,Standard,38,3,F,S,0,2121.36,N,39.786667,T,6850 2466 5342 5684
267,7,0,65,0,CH,Budget,Intnl_discount,73,2,F,M,2,63566.1,Y,56.3,F,3456 5187 1797 6056
270,14,1,149,0,CC,FreeLocal,Intnl_discount,166,4,F,S,0,89813.6,N,12.846667,F,5989 6126 2582 2645
272,21,0,19,0,CC,FreeLocal,Intnl_discount,41,4,F,M,2,82644.2,Y,33.493333,F,4824 2571 7932 2846
281,29,0,116,3,CH,Budget,Standard,145,2,F,M,2,34577.7,N,63.253333,F,6618 2816 3328 4118
284,10,0,137,0,CC,FreeLocal,Standard,147,4,F,S,2,19008.4,Y,52.166667,T,5765 5198 2244 6174
285,23,0,126,0,Auto,FreeLocal,Standard,150,3,F,M,0,98056.3,N,55.966667,F,7265 7528 7462 3702
286,0,0,2,0,CH,Budget,Standard,2,4,M,M,0,73400,Y,64.226667,T,3090 8774 5125 8573
288,2,1,43,0,CH,Budget,Intnl_discount,46,2,M,M,0,78894.2,N,28,F,6488 8658 3175 7902
289,20,8,80,0,CH,Budget,Intnl_discount,109,1,M,S,1,16432.1,Y,20.92,T,8542 7112 6310 2317
